content,date,title,category,author,source,fetched_at,clean_text
"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet, consectetur, adipisci velit, sed quia non numquam eius modi tempora incidunt ut labore et dolore magnam aliquam quaerat voluptatem. Ut enim ad minima veniam, quis nostrum exercitationem ullam corporis suscipit laboriosam, nisi ut aliquid ex ea commodi consequatur? Quis autem vel eum iure reprehenderit qui in ea voluptate velit esse quam nihil molestiae consequatur, vel illum qui dolorem eum fugiat quo voluptas nulla pariatur",2018-09-26 13:24:25,Si t’i kërkosh të dashurit se ka ardhur koha për t’u fejuar,Life &amp; Style,ernis zejnullahu,Ballkani,2024-11-12T09:49:10Z,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet, consectetur, adipisci velit, sed quia non numquam eius modi tempora incidunt ut labore et dolore magnam aliquam quaerat voluptatem. Ut enim ad minima veniam, quis nostrum exercitationem ullam corporis suscipit laboriosam, nisi ut aliquid ex ea commodi consequatur? Quis autem vel eum iure reprehenderit qui in ea voluptate velit esse quam nihil molestiae consequatur, vel illum qui dolorem eum fugiat quo voluptas nulla pariatur"
"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet, consectetur, adipisci velit, sed quia non numquam eius modi tempora incidunt ut labore et dolore magnam aliquam quaerat voluptatem. Ut enim ad minima veniam, quis nostrum exercitationem ullam corporis suscipit laboriosam, nisi ut aliquid ex ea commodi consequatur? Quis autem vel eum iure reprehenderit qui in ea voluptate velit esse quam nihil molestiae consequatur, vel illum qui dolorem eum fugiat quo voluptas nulla pariatur",2018-09-26 13:26:04,Arsyeja e saktë përse disa meshkuj janë beqarë të përbetuar,Life &amp; Style,ernis zejnullahu,Ballkani,2024-11-12T09:49:10Z,"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet, consectetur, adipisci velit, sed quia non numquam eius modi tempora incidunt ut labore et dolore magnam aliquam quaerat voluptatem. Ut enim ad minima veniam, quis nostrum exercitationem ullam corporis suscipit laboriosam, nisi ut aliquid ex ea commodi consequatur? Quis autem vel eum iure reprehenderit qui in ea voluptate velit esse quam nihil molestiae consequatur, vel illum qui dolorem eum fugiat quo voluptas nulla pariatur"
"Puna intensive është veçanërisht e rëndësishme, sepse vetëm talenti rrallë ka merita për suksesin e madh, por edhe koha që i nevojitet individit për të përvetësuar një lëndë, shpesh mund të jetë vendimtare në punë. Pa marrë parasysh a bëhet fjalë për muzikë, sport, shkencë apo punë, për sukses njëlloj kanë merita puna, këmbëngulja dhe talenti, zbulon studimi i Universitetit të Floridës. Puna intensive është veçanërisht e rëndësishme, sepse vetëm talenti rrallë ka merita për suksesin e madh, por edhe koha që i nevojitet individit për të përvetësuar një lëndë, shpesh mund të jetë vendimtare në punë. Pa marrë parasysh a bëhet fjalë për muzikë, sport, shkencë apo punë, për sukses njëlloj kanë merita puna, këmbëngulja dhe talenti, zbulon studimi i Universitetit të Floridës.",2018-09-26 13:44:53,"Për sukses ndikojnë puna e talenti, por edhe memoria punuese",Life &amp; Style,ernis zejnullahu,Ballkani,2024-11-12T09:49:10Z,"Puna intensive është veçanërisht e rëndësishme, sepse vetëm talenti rrallë ka merita për suksesin e madh, por edhe koha që i nevojitet individit për të përvetësuar një lëndë, shpesh mund të jetë vendimtare në punë. Pa marrë parasysh a bëhet fjalë për muzikë, sport, shkencë apo punë, për sukses njëlloj kanë merita puna, këmbëngulja dhe talenti, zbulon studimi i Universitetit të Floridës. Puna intensive është veçanërisht e rëndësishme, sepse vetëm talenti rrallë ka merita për suksesin e madh, por edhe koha që i nevojitet individit për të përvetësuar një lëndë, shpesh mund të jetë vendimtare në punë. Pa marrë parasysh a bëhet fjalë për muzikë, sport, shkencë apo punë, për sukses njëlloj kanë merita puna, këmbëngulja dhe talenti, zbulon studimi i Universitetit të Floridës."
"Pesëdhjetë vjet pas lansimit të këngës “Hello, I Love You”, kritiku i muzikës i ditores Guardian, Dave Simpson, ka biseduar me dy anëtarët e dikurshëm të rok grupit legjendar The Doors, për të mësuar më shumë për momentet e realizimit të kësaj kënge. Këto momente i shpjegojnë daullisti John Densmore dhe kitaristi Robby Krieger. Këtë vit do të dal në shitje edicioni special i albumit “Waiting for the Sun”, ku përfshihen edhe disa nga incizimet e papublikuara, ndërsa “Hello, I Love You” tashmë është edituar në disk vinili, transmeton Telegrafi. John Densmore: Jim Morrison e ka shkruar tekstin për “Hello, I Love You”, në kohën kur ende ishim në grupin që quhej Rick & Ravens. “Trotuari përkulet te këmbët e saj/ si qeni që lyp diçka të ëmbël.” Është një tekst shumë i mirë. Ai nuk mund të luante në instrumente, por vinte me melodi për t’i kujtuar fjalët e tija të mahnitshme. Ishim duke ecur përgjatë shtegut të plazhit Venecie në Los Angjelos, një nga zonat me diversitet të shquar në vitet 1960, kur Jimi e shikoi një vajzë afro-amerikane. Ajo ishte “xhevahiri i errët” që e frymëzoi këngën.",2018-09-26 14:18:01,"Viti 1968, The Doors dhe problemet e Morrisonit me drogë.",Showbiz,ernis zejnullahu,Ballkani,2024-11-12T09:49:10Z,"Pesëdhjetë vjet pas lansimit të këngës “Hello, I Love You”, kritiku i muzikës i ditores Guardian, Dave Simpson, ka biseduar me dy anëtarët e dikurshëm të rok grupit legjendar The Doors, për të mësuar më shumë për momentet e realizimit të kësaj kënge. Këto momente i shpjegojnë daullisti John Densmore dhe kitaristi Robby Krieger. Këtë vit do të dal në shitje edicioni special i albumit “Waiting for the Sun”, ku përfshihen edhe disa nga incizimet e papublikuara, ndërsa “Hello, I Love You” tashmë është edituar në disk vinili, transmeton Telegrafi. John Densmore: Jim Morrison e ka shkruar tekstin për “Hello, I Love You”, në kohën kur ende ishim në grupin që quhej Rick & Ravens. “Trotuari përkulet te këmbët e saj/ si qeni që lyp diçka të ëmbël.” Është një tekst shumë i mirë. Ai nuk mund të luante në instrumente, por vinte me melodi për t’i kujtuar fjalët e tija të mahnitshme. Ishim duke ecur përgjatë shtegut të plazhit Venecie në Los Angjelos, një nga zonat me diversitet të shquar në vitet 1960, kur Jimi e shikoi një vajzë afro-amerikane. Ajo ishte “xhevahiri i errët” që e frymëzoi këngën."
"Tundni ajkën e ëmbël, shtoni kremin e tundur dhe ajkën e thartë. Ndani përgjysmë dhe në njërën gjysmë shtoni lëng mjedre, në tjetrën çokollatën dhe biskotat dhe të gjitha bashkoni. Qitni në kuti plastike, mbyllni dhe futni në frigorifer ngrirës, transmeton Tundni ajkën e ëmbël, shtoni kremin e tundur dhe ajkën e thartë. Ndani përgjysmë dhe në njërën gjysmë shtoni lëng mjedre, në tjetrën çokollatën dhe biskotat dhe të gjitha bashkoni. Qitni në kuti plastike, mbyllni dhe futni në frigorifer ngrirës, transmeton",2018-09-26 14:25:45,Akullore shtëpiake me çokollatë dhe pemë,Life &amp; Style,ernis zejnullahu,Ballkani,2024-11-12T09:49:10Z,"Tundni ajkën e ëmbël, shtoni kremin e tundur dhe ajkën e thartë. Ndani përgjysmë dhe në njërën gjysmë shtoni lëng mjedre, në tjetrën çokollatën dhe biskotat dhe të gjitha bashkoni. Qitni në kuti plastike, mbyllni dhe futni në frigorifer ngrirës, transmeton Tundni ajkën e ëmbël, shtoni kremin e tundur dhe ajkën e thartë. Ndani përgjysmë dhe në njërën gjysmë shtoni lëng mjedre, në tjetrën çokollatën dhe biskotat dhe të gjitha bashkoni. Qitni në kuti plastike, mbyllni dhe futni në frigorifer ngrirës, transmeton"
"1. Në një enë përzieni mishin me mentën, majdanozin, rigonin, hudhrën, kripën dhe piperin. 2. Shtoni spec djegës dhe gatuani katër qoftere. 3. Lyejini me vaj tavën e grillit apo skarën dhe piqni hamburgerët nga 5 minuta na të dyja anë 1. Në një enë përzieni mishin me mentën, majdanozin, rigonin, hudhrën, kripën dhe piperin. 2. Shtoni spec djegës dhe gatuani katër qoftere. 3. Lyejini me vaj tavën e grillit apo skarën dhe piqni hamburgerët nga 5 minuta na të dyja anë",2018-09-26 14:26:25,Hamburger me mish qengji,Life &amp; Style,ernis zejnullahu,Ballkani,2024-11-12T09:49:10Z,"1. Në një enë përzieni mishin me mentën, majdanozin, rigonin, hudhrën, kripën dhe piperin. 2. Shtoni spec djegës dhe gatuani katër qoftere. 3. Lyejini me vaj tavën e grillit apo skarën dhe piqni hamburgerët nga 5 minuta na të dyja anë 1. Në një enë përzieni mishin me mentën, majdanozin, rigonin, hudhrën, kripën dhe piperin. 2. Shtoni spec djegës dhe gatuani katër qoftere. 3. Lyejini me vaj tavën e grillit apo skarën dhe piqni hamburgerët nga 5 minuta na të dyja anë"
"As të rriturit nuk po mbesin indiferent ndaj këtij trendi, duke kërkuar edhe ata diçka në këtë formë. Kompania polake Design Epicentrum, e ka kaluar këtë krijim orendish në një nivel tjetër, duke punuar tavolinën në formë të Lamborghini Aventador. Sikur super-makina italiane, as ajo nuk vije lirë. Për ta pasur një të tillë, duke paguar 30 mijë euro, që janë një shumë absurde, pasi me ato para mund të blihet një makën e zakonshme pa asnjë kilometër të kaluar. Por, provoni t’ia shpjegoni 44 blerësve që e kanë paguar deri më tani, vetëm që ta kenë një të tillë.",2018-09-26 14:40:42,"Tavolina në formë të Lamborghini Aventador, me çmimin e një veture",Lajme,ernis zejnullahu,Ballkani,2024-11-12T09:49:10Z,"As të rriturit nuk po mbesin indiferent ndaj këtij trendi, duke kërkuar edhe ata diçka në këtë formë. Kompania polake Design Epicentrum, e ka kaluar këtë krijim orendish në një nivel tjetër, duke punuar tavolinën në formë të Lamborghini Aventador. Sikur super-makina italiane, as ajo nuk vije lirë. Për ta pasur një të tillë, duke paguar 30 mijë euro, që janë një shumë absurde, pasi me ato para mund të blihet një makën e zakonshme pa asnjë kilometër të kaluar. Por, provoni t’ia shpjegoni 44 blerësve që e kanë paguar deri më tani, vetëm që ta kenë një të tillë."
Federer barazon në derbin e Bavarisë me Augsburgun Federer barazon në derbin e Bavarisë me Augsburgun Federer barazon në derbin e Bavarisë me Augsburgun Federer barazon në derbin e Bavarisë me Augsburgun Federer barazon në derbin e Bavarisë me Augsburgun Federer barazon në derbin e Bavarisë me Augsburgun Federer barazon në derbin e Bavarisë me Augsburgun Federer barazon në derbin e Bavarisë me Augsburgun Federer barazon në derbin e Bavarisë me Augsburgun Federer barazon në derbin e Bavarisë me Augsburgun Federer barazon në derbin e Bavarisë me Augsburgun Federer barazon në derbin e Bavarisë me Augsburgun Federer barazon në derbin e Bavarisë me Augsburgun Federer barazon në derbin e Bavarisë me Augsburgun Federer barazon në derbin e Bavarisë me Augsburgun Federer barazon në derbin e Bavarisë me Augsburgun Federer barazon në derbin e Bavarisë me Augsburgun Federer barazon në derbin e Bavarisë me Augsburgun Federer barazon në derbin e Bavarisë me Augsburgun,2018-09-26 16:49:07,Federer barazon në derbin e Bavarisë me Augsburgun,Sport,ernis zejnullahu,Ballkani,2024-11-12T09:49:10Z,Federer barazon në derbin e Bavarisë me Augsburgun Federer barazon në derbin e Bavarisë me Augsburgun Federer barazon në derbin e Bavarisë me Augsburgun Federer barazon në derbin e Bavarisë me Augsburgun Federer barazon në derbin e Bavarisë me Augsburgun Federer barazon në derbin e Bavarisë me Augsburgun Federer barazon në derbin e Bavarisë me Augsburgun Federer barazon në derbin e Bavarisë me Augsburgun Federer barazon në derbin e Bavarisë me Augsburgun Federer barazon në derbin e Bavarisë me Augsburgun Federer barazon në derbin e Bavarisë me Augsburgun Federer barazon në derbin e Bavarisë me Augsburgun Federer barazon në derbin e Bavarisë me Augsburgun Federer barazon në derbin e Bavarisë me Augsburgun Federer barazon në derbin e Bavarisë me Augsburgun Federer barazon në derbin e Bavarisë me Augsburgun Federer barazon në derbin e Bavarisë me Augsburgun Federer barazon në derbin e Bavarisë me Augsburgun Federer barazon në derbin e Bavarisë me Augsburgun
"Duke ndjekur intervistën në “Opinion” të Edi Ramës me gazetarët , m’u ngjall edhe një herë një pikëpyetje që ngrihet në rrethet gazetareske mbi kryeministrin. Pikëpyetja është se çfarë dominon në projektet Rama të shembjes së monumenteve të kulturës si Stadiumi e Teatri: babëzia e hajdutit që kërkon të ketë sa më shumë para për pushtet dhe pushtet për para apo sëmundja e narcizistit delirant e mitoman, që mendon se historia fillon me të? Ka që ngulmojnë se duhet ta harrojmë delirin dhe historinë.",2018-09-26 16:59:38,"Teatri, babëzia, injoranca dhe deliri në veprim",Opinione,ernis zejnullahu,Ballkani,2024-11-12T09:49:10Z,"Duke ndjekur intervistën në “Opinion” të Edi Ramës me gazetarët , m’u ngjall edhe një herë një pikëpyetje që ngrihet në rrethet gazetareske mbi kryeministrin. Pikëpyetja është se çfarë dominon në projektet Rama të shembjes së monumenteve të kulturës si Stadiumi e Teatri: babëzia e hajdutit që kërkon të ketë sa më shumë para për pushtet dhe pushtet për para apo sëmundja e narcizistit delirant e mitoman, që mendon se historia fillon me të? Ka që ngulmojnë se duhet ta harrojmë delirin dhe historinë."
"Kancelarja gjermane, Angela Merkel dëshiron respekt të dyanshëm për realizimin e largimit të Britanisë së Madhe nga Bashkimi Evropian dhe një atmosferë të mirë. Ajo kërkon shumë për një temë të shoqëruar kaq me debate. Megjithëse negociatorët shprehen me diplomaci, por ka zëra se edhe mes Michel Barnierin, negociator i BE-së dhe negociatorit britanik ka grindje. Ndërsa, në Britaninë e Madhe, ministri për Brexit, Dominic Raab, i sulmon ashpër pozicionet e BE-së. Por, Merkel, në samitin e BE-së në Salsburg kërkon të flitet për arritjet pozitive. “Në disa sektorë është e mundur një bashkëpunim i mirë.” Ajo përmend temën e sigurisë, ku palët janë të një mendimi. Por, atë që nuk përmend Merkeli janë marrëdhëniet ekonomike. Kryeministrja britanike, Theresa May kërkon një treg të brendshëm për mallrat, të cilën BE nuk e pranon.",2018-09-26 17:00:23,Evropianët grinden për Brexit-in dhe për refugjatët,Opinione,ernis zejnullahu,Ballkani,2024-11-12T09:49:10Z,"Kancelarja gjermane, Angela Merkel dëshiron respekt të dyanshëm për realizimin e largimit të Britanisë së Madhe nga Bashkimi Evropian dhe një atmosferë të mirë. Ajo kërkon shumë për një temë të shoqëruar kaq me debate. Megjithëse negociatorët shprehen me diplomaci, por ka zëra se edhe mes Michel Barnierin, negociator i BE-së dhe negociatorit britanik ka grindje. Ndërsa, në Britaninë e Madhe, ministri për Brexit, Dominic Raab, i sulmon ashpër pozicionet e BE-së. Por, Merkel, në samitin e BE-së në Salsburg kërkon të flitet për arritjet pozitive. “Në disa sektorë është e mundur një bashkëpunim i mirë.” Ajo përmend temën e sigurisë, ku palët janë të një mendimi. Por, atë që nuk përmend Merkeli janë marrëdhëniet ekonomike. Kryeministrja britanike, Theresa May kërkon një treg të brendshëm për mallrat, të cilën BE nuk e pranon."
